"012F", "012F", 50.0, 49.0, -60.0, -62.0, null
"012G", "012G", 50.0, 49.0, -58.0, -60.0, null
"012H", "012H", 50.0, 49.0, -56.0, -58.0, null
"012I", "012I", 51.0, 50.0, -56.0, -58.0, null
"012J", "012J", 51.0, 50.0, -58.0, -60.0, null
"012K", "012K", 51.0, 50.0, -60.0, -62.0, null
"012L", "012L", 51.0, 50.0, -62.0, -64.0, null
"012M", "012M", 52.0, 51.0, -62.0, -64.0, null
"012N", "012N", 52.0, 51.0, -60.0, -62.0, null
"012O", "012O", 52.0, 51.0, -58.0, -60.0, null
"012P", "012P", 52.0, 51.0, -56.0, -58.0, null
"013A", "013A", 53.0, 52.0, -56.0, -58.0, null
"013B", "013B", 53.0, 52.0, -58.0, -60.0, null
"013C", "013C", 53.0, 52.0, -60.0, -62.0, null
"013D", "013D", 53.0, 52.0, -62.0, -64.0, null
"013E", "013E", 54.0, 53.0, -62.0, -64.0, null
"013F", "013F", 54.0, 53.0, -60.0, -62.0, null
"013G", "013G", 54.0, 53.0, -58.0, -60.0, null
"013H", "013H", 54.0, 53.0, -56.0, -58.0, null
"013I", "013I", 55.0, 54.0, -56.0, -58.0, null
"013J", "013J", 55.0, 54.0, -58.0, -60.0, null
"013K", "013K", 55.0, 54.0, -60.0, -62.0, null
"013L", "013L", 55.0, 54.0, -62.0, -64.0, null
"013M", "013M", 56.0, 55.0, -62.0, -64.0, null
"013N", "013N", 56.0, 55.0, -60.0, -62.0, null
"013O", "013O", 56.0, 55.0, -58.0, -60.0, null
"013P", "013P", 56.0, 55.0, -56.0, -58.0, null
"014A", "014A", 57.0, 56.0, -56.0, -58.0, null
"014B", "014B", 57.0, 56.0, -58.0, -60.0, null
"014C", "014C", 57.0, 56.0, -60.0, -62.0, null
"014D", "014D", 57.0, 56.0, -62.0, -64.0, null
"014E", "014E", 58.0, 57.0, -62.0, -64.0, null
"014F", "014F", 58.0, 57.0, -60.0, -62.0, null
"014G", "014G", 58.0, 57.0, -58.0, -60.0, null
"014H", "014H", 58.0, 57.0, -56.0, -58.0, null
"014I", "014I", 59.0, 58.0, -56.0, -58.0, null
"014J", "014J", 59.0, 58.0, -58.0, -60.0, null
"014K", "014K", 59.0, 58.0, -60.0, -62.0, null
"014L", "014L", 59.0, 58.0, -62.0, -64.0, null
"014M", "014M", 60.0, 59.0, -62.0, -64.0, null
"014N", "014N", 60.0, 59.0, -60.0, -62.0, null
"014O", "014O", 60.0, 59.0, -58.0, -60.0, null
"014P", "014P", 60.0, 59.0, -56.0, -58.0, null
"015A", "015A", 61.0, 60.0, -56.0, -58.0, null
"015B", "015B", 61.0, 60.0, -58.0, -60.0, null
"015C", "015C", 61.0, 60.0, -60.0, -62.0, null
"015D", "015D", 61.0, 60.0, -62.0, -64.0, null
